time,otoc
0.0,0.06249999999999993
0.2,0.06249999999999992
0.4,0.06249999999999993
0.6000000000000001,0.06249999999999992
0.8,0.06249999999999992
1.0,0.062499999999999924
1.2000000000000002,0.062499999999999924
1.4000000000000001,0.06249999999999992
1.6,0.06249999999999992
1.8,0.06249999999999992
2.0,0.06249999999999994
2.2,0.06249999999999992
2.4000000000000004,0.06249999999999991
2.6,0.062499999999999924
2.8000000000000003,0.062499999999999924
3.0,0.06249999999999992
3.2,0.062499999999999924
3.4000000000000004,0.06249999999999993
3.6,0.06249999999999993
3.8000000000000003,0.06249999999999993
4.0,0.06249999999999993
4.2,0.06249999999999992
4.4,0.06249999999999992
4.6000000000000005,0.06249999999999993
4.800000000000001,0.062499999999999924
5.0,0.06249999999999992
5.2,0.06249999999999992
5.4,0.06249999999999991
5.6000000000000005,0.06249999999999993
5.800000000000001,0.06249999999999993
6.0,0.06249999999999992
