index,lambda,theta,barrier
0,0.691742674047368,0.5886145507826217,0.3685412508339668
1,0.5974497293637221,0.6873206923510289,0.5150851336721289
2,0.41891370580818,0.8668441586785697,0.8700903329962816
3,0.41891370580817944,0.8668441586785702,0.8700903329962829
4,0.41890129808588283,0.8668567328786284,0.8701199522373799
5,0.39784433356305726,0.8882782377062685,0.9216944719066029
6,0.126252639364493,1.2075394350607238,2.069470305187822
7,0.035144186206046056,1.3822126942958426,3.348296073948974
