trial_id,split,seed,criterion,pair_name,relation_type,severity,noise,fault_1_stage,fault_1_distinction,fault_1_severity,fault_2_stage,fault_2_distinction,fault_2_severity,policy,first_action,action_sequence,recovered,task_loss_before,task_loss_after,intervention_cost,harm,utility,oracle_sequence,oracle_utility,confidence,abstained,early_stop_position
development:401:FG+FW:strict_masking:0.50:0.20:0:cheapest_first,development,401,pi_1,FG+FW,strict_masking,0.5,0.2,G,b,0.5,W,h,0.5,cheapest_first,rJ,rJ,False,1.7,0.76,1.0,1.0,-0.3,"rG,rW",0.6499999999999999,0.45,False,1
development:401:FG+FW:strict_masking:0.50:0.20:0:highest_stage_posterior,development,401,pi_1,FG+FW,strict_masking,0.5,0.2,G,b,0.5,W,h,0.5,highest_stage_posterior,rG,rG,False,1.7,0.76,5.0,1.0,-0.5,"rG,rW",0.6499999999999999,0.45,False,1
development:401:FG+FW:strict_masking:0.50:0.20:0:greedy_gain,development,401,pi_1,FG+FW,strict_masking,0.5,0.2,G,b,0.5,W,h,0.5,greedy_gain,rG,"rG,rW",True,1.7,0.2,7.0,0.0,0.6499999999999999,"rG,rW",0.6499999999999999,0.45,False,2
development:401:FG+FW:strict_masking:0.50:0.20:0:end_to_end,development,401,pi_1,FG+FW,strict_masking,0.5,0.2,G,b,0.5,W,h,0.5,end_to_end,rW,rW,False,1.7,0.76,2.0,1.0,-0.35,"rG,rW",0.6499999999999999,0.45,False,1
development:401:FG+FW:strict_masking:0.50:0.20:0:oracle,development,401,pi_1,FG+FW,strict_masking,0.5,0.2,G,b,0.5,W,h,0.5,oracle,rG,"rG,rW",True,1.7,0.2,7.0,0.0,0.6499999999999999,"rG,rW",0.6499999999999999,0.55,False,2
development:401:FG+FW:strict_masking:0.75:0.00:0:qrtc,development,401,pi_1,FG+FW,strict_masking,0.75,0.0,G,b,0.75,W,h,0.75,qrtc,rG,"rG,rW",True,1.75,0.2,7.0,0.0,0.6499999999999999,"rG,rW",0.6499999999999999,0.95,False,2
development:401:FG+FW:strict_masking:0.75:0.00:0:random,development,401,pi_1,FG+FW,strict_masking,0.75,0.0,G,b,0.75,W,h,0.75,random,rW,rW,False,1.75,0.75,2.0,1.0,-0.35,"rG,rW",0.6499999999999999,0.45,False,1
development:401:FG+FW:strict_masking:0.75:0.00:0:cheapest_first,development,401,pi_1,FG+FW,strict_masking,0.75,0.0,G,b,0.75,W,h,0.75,cheapest_first,rJ,rJ,False,1.75,0.75,1.0,1.0,-0.3,"rG,rW",0.6499999999999999,0.45,False,1
development:401:FG+FW:strict_masking:0.75:0.00:0:highest_stage_posterior,development,401,pi_1,FG+FW,strict_masking,0.75,0.0,G,b,0.75,W,h,0.75,highest_stage_posterior,rG,rG,False,1.75,0.75,5.0,1.0,-0.5,"rG,rW",0.6499999999999999,0.45,False,1
development:401:FG+FW:strict_masking:0.75:0.00:0:greedy_gain,development,401,pi_1,FG+FW,strict_masking,0.75,0.0,G,b,0.75,W,h,0.75,greedy_gain,rG,"rG,rW",True,1.75,0.2,7.0,0.0,0.6499999999999999,"rG,rW",0.6499999999999999,0.45,False,2
